frameRate	psychopyVersion	expName	date	show_control_monitor	eeg_record	phase	task	stim_list	experimenter	id	TrialNumber	image	category	subcategory	repeat	task	block	presentation	ran	order	break_text1.started	break_text1.stopped	break_text2.started	break_text2.stopped	delay_red_fix.started	delay_red_fix.stopped	jitter	stim_image.started	stim_image.stopped	photosensor_dot.started	photosensor_dot.stopped	trial_red_fixation.started	trial_red_fixation.stopped	response.keys	response.started	response.stopped	resp	rt	correct	feedback1.started	feedback1.stopped	feedback2.started	feedback2.stopped	resp_trigger_frame	response.rt
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	1	cactusfruit.jpg	objects	natural	1	1back	1	1	1	0	None	None	None	None	124.11135	None	114	125.41128	125.91162	125.41128	125.91162	125.144585	None	None	125.41128	None	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	2	cactusfruit.jpg	objects	natural	1	1back	1	2	1	1	None	None	None	None	None	None	96	128.07768	128.57762	128.07768	128.57762	127.8277	127.8276948	j	128.07768	127.8276948	j	0.79231113	1	None	None	None	None	64	0.79231113
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	3	violin.jpg	objects	manmade	0	1back	1	1	1	2	None	None	None	None	None	None	111	130.44417	130.94412	130.44417	130.94412	130.1942	130.1941915	None	130.44417	130.1941915	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	4	kiwi02.jpg	objects	natural	1	1back	1	1	1	3	None	None	None	None	None	None	114	133.06061	133.56056	133.06061	133.56056	132.81062	132.8106194	None	133.06061	132.8106194	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	5	kiwi02.jpg	objects	natural	1	1back	1	2	1	4	None	None	None	None	None	None	91	135.72704	136.227	135.72704	136.227	135.47707	135.4770691	j	135.72704	135.4770691	j	0.67859536	1	None	None	None	None	57	0.67859536
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	6	poolnet.jpg	objects	manmade	0	1back	1	1	1	5	None	None	None	None	None	None	96	138.01018	138.51015	138.01018	138.51015	137.76021	137.7602041	None	138.01018	137.7602041	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	7	plant05b.jpg	objects	natural	0	1back	1	1	1	6	None	None	None	None	None	None	116	140.37665	140.87662	140.37665	140.87662	140.1267	140.1266897	None	140.37665	140.1266897	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	8	bluejay.jpg	objects	natural	1	1back	1	1	1	7	None	None	None	None	None	None	91	143.07642	143.57637	143.07642	143.57637	142.82646	142.8264606	j	143.07642	142.8264606	j	0.72087485	0	None	None	None	None	60	0.72087485
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	9	bluejay.jpg	objects	natural	1	1back	1	2	1	8	None	None	None	None	None	None	91	145.35956	145.8595	145.35956	145.8595	145.10957	145.1095677	j	145.35956	145.1095677	j	0.37364182	1	None	None	None	None	39	0.37364182
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	10	archi151.jpg	scenes	manmade	0	1back	1	1	1	9	None	None	None	None	None	None	92	147.64268	148.14264	147.64268	148.14264	147.3927	147.3927039	None	147.64268	147.3927039	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	11	des16.jpg	scenes	natural	0	1back	1	1	1	10	None	None	None	None	None	None	113	149.94247	150.44244	149.94247	150.44244	149.69252	149.6925142	None	149.94247	149.6925142	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	12	446598270_7894706047.jpg	scenes	natural	0	1back	1	1	1	11	None	None	None	None	None	None	108	152.59225	153.09222	152.59225	153.09222	152.34229	152.3422869	None	152.59225	152.3422869	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	13	studio643.jpg	scenes	manmade	1	1back	1	1	1	12	None	None	None	None	None	None	105	155.1587	155.65866	155.1587	155.65866	154.90872	154.9087232	None	155.1587	154.9087232	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	14	studio643.jpg	scenes	manmade	1	1back	1	2	1	13	None	None	None	None	None	None	93	157.67517	158.17511	157.67517	158.17511	157.42517	157.4251741	j	157.67517	157.4251741	j	0.6814187	1	None	None	None	None	57	0.6814187
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	15	CFD-BM-041-035-N.jpg	faces	male	0	1back	1	1	1	14	None	None	None	None	None	None	102	159.99165	160.49161	159.99165	160.49161	159.74168	159.7416889	None	159.99165	159.7416889	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	16	star.jpg	objects	natural	0	1back	1	1	1	15	None	None	None	None	None	None	109	162.45808	162.95804	162.45808	162.95804	162.20813	162.2081288	None	162.45808	162.2081288	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	17	CFD-WM-031-003-N.jpg	faces	male	0	1back	1	1	1	16	None	None	None	None	None	None	108	165.0412	165.54115	165.0412	165.54115	164.7912	164.7912048	None	165.0412	164.7912048	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	18	CFD-WM-238-020-N.jpg	faces	male	0	1back	1	1	1	17	None	None	None	None	None	None	114	167.60764	168.1076	167.60764	168.1076	167.35767	167.357672	None	167.60764	167.357672	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	19	sneaker01a.jpg	objects	manmade	0	1back	1	1	1	18	None	None	None	None	None	None	113	170.27408	170.77403	170.27408	170.77403	170.02411	170.0241082	None	170.27408	170.0241082	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	20	CFD-BF-038-037-N.jpg	faces	female	0	1back	1	1	1	19	None	None	None	None	None	None	98	172.92386	173.42381	172.92386	173.42381	172.67387	172.6738689	None	172.92386	172.6738689	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	21	crique_09_16_altavista.jpg	scenes	natural	0	1back	1	1	1	20	None	None	None	None	None	None	104	175.32364	175.82361	175.32364	175.82361	175.07367	175.0736765	None	175.32364	175.0736765	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	22	tiered_parking_web.jpg	scenes	manmade	0	1back	1	1	1	21	None	None	None	None	None	None	109	177.82344	178.32343	177.82344	178.32343	177.57346	177.5734585	None	177.82344	177.5734585	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	23	door.jpg	objects	manmade	1	1back	1	1	1	22	None	None	None	None	None	None	101	180.40654	180.90651	180.40654	180.90651	180.15656	180.156558	None	180.40654	180.156558	n/a	-99	1	None	None	None	None	--	--
59.98859087	2021.2.1	sof_nback_task	2021_Oct_20_1002	no	yes	real	1back	1	999	999	24	door.jpg	objects	manmade	1	1back	1	2	1	23	None	None	None	None	None	None	99	182.85634	183.3563	182.85634	183.3563	182.60635	182.6063499	j	182.85634	182.6063499	j	0.603099	1	None	None	None	None	53	0.603099
